Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
iPhone XS Max	256GB	105		iPhone			
iPhone XS Max	512GB	110		iPhone			
iPhone XS Max	64GB	90		iPhone			
iPhone XS	256GB	75		iPhone			
iPhone XS	512GB	90		iPhone			
iPhone XS	64GB	65		iPhone			
iPhone XR	128GB	80		iPhone			
iPhone XR	256GB	90		iPhone			
iPhone XR	64GB	70		iPhone			
iPhone X	64GB	50		iPhone			
iPhone X	256GB	60		iPhone			
iPhone SE (3rd generation)	128GB	105		iPhone			
iPhone SE (3rd generation)	256GB	120		iPhone			
iPhone SE (3rd generation)	64GB	90		iPhone			
iPhone SE (2nd generation)	128GB	40		iPhone			
iPhone SE (2nd generation)	256GB	50		iPhone			
iPhone SE (2nd generation)	64GB	30		iPhone			
iPhone 8 Plus	64GB	45		iPhone			
iPhone 8 Plus	256GB	60		iPhone			
iPhone 8 Plus	128GB	55		iPhone			
iPhone 15 Pro Max	1TB	625		iPhone			
iPhone 15 Pro Max	256GB	565		iPhone			
iPhone 15 Pro Max	512GB	595		iPhone			
iPhone 15 Pro	128GB	550		iPhone			
iPhone 15 Pro	1TB	650		iPhone			
iPhone 15 Pro	256GB	585		iPhone			
iPhone 15 Pro	512GB	635		iPhone			
iPhone 15 Plus	128GB	395		iPhone			
iPhone 15 Plus	256GB	410		iPhone			
iPhone 15 Plus	512GB	440		iPhone			
iPhone 15	128GB	360		iPhone			
iPhone 15	256GB	380		iPhone			
iPhone 15	512GB	400		iPhone			
iPhone 14 Pro Max	128GB	420		iPhone			
iPhone 14 Pro Max	1TB	470		iPhone			
iPhone 14 Pro Max	256GB	445		iPhone			
iPhone 14 Pro Max	512GB	460		iPhone			
iPhone 14 Pro	128GB	345		iPhone			
iPhone 14 Pro	1TB	410		iPhone			
iPhone 14 Pro	256GB	375		iPhone			
iPhone 14 Pro	512GB	395		iPhone			
iPhone 14 Plus	128GB	285		iPhone			
iPhone 14 Plus	256GB	320		iPhone			
iPhone 14 Plus	512GB	325		iPhone			
iPhone 14	128GB	275		iPhone			
iPhone 14	256GB	305		iPhone			
iPhone 14	512GB	350		iPhone			
iPhone 13 Pro Max	128GB	300		iPhone			
iPhone 13 Pro Max	1TB	350		iPhone			
iPhone 13 Pro Max	256GB	315		iPhone			
iPhone 13 Pro Max	512GB	335		iPhone			
iPhone 13 Pro	128GB	250		iPhone			
iPhone 13 Pro	1TB	305		iPhone			
iPhone 13 Pro	256GB	265		iPhone			
iPhone 13 Pro	512GB	290		iPhone			
iPhone 13 Mini	128GB	160		iPhone			
iPhone 13 Mini	256GB	190		iPhone			
iPhone 13 Mini	512GB	205		iPhone			
iPhone 13	128GB	210		iPhone			
iPhone 13	256GB	240		iPhone			
iPhone 13	512GB	260		iPhone			
iPhone 12 Pro Max	128GB	225		iPhone			
iPhone 12 Pro Max	256GB	240		iPhone			
iPhone 12 Pro Max	512GB	260		iPhone			
iPhone 12 Pro	128GB	170		iPhone			
iPhone 12 Pro	256GB	190		iPhone			
iPhone 12 Pro	512GB	205		iPhone			
iPhone 12 Mini	128GB	115		iPhone			
iPhone 12 Mini	256GB	125		iPhone			
iPhone 12 Mini	64GB	95		iPhone			
iPhone 12	128GB	140		iPhone			
iPhone 12	256GB	150		iPhone			
iPhone 12	64GB	120		iPhone			
iPhone 11 Pro Max	256GB	175		iPhone			
iPhone 11 Pro Max	512GB	185		iPhone			
iPhone 11 Pro Max	64GB	150		iPhone			
iPhone 11 Pro	256GB	130		iPhone			
iPhone 11 Pro	512GB	140		iPhone			
iPhone 11 Pro	64GB	115		iPhone			
iPhone 11	128GB	115		iPhone			
iPhone 11	256GB	125		iPhone			
iPhone 11	64GB	95		iPhone			
iPad Pro (9,7 pulgadas) Wi-Fi	32GB	35		iPad			
iPad Pro (9,7 pulgadas) Wi-Fi	128GB	45		iPad			
iPad Pro (9,7 pulgadas) Wi-Fi	256GB	50		iPad			
iPad Pro (9,7 pulgadas) Cellular	32GB	40		iPad			
iPad Pro (9,7 pulgadas) Cellular	128GB	50		iPad			
iPad Pro (9,7 pulgadas) Cellular	256GB	60		iPad			
iPad Pro 13-inch (M4) Wi-Fi	1TB	680		iPad			M4
iPad Pro 13-inch (M4) Wi-Fi	256GB	610		iPad			M4
iPad Pro 13-inch (M4) Wi-Fi	2TB	720		iPad			M4
iPad Pro 13-inch (M4) Wi-Fi	512GB	640		iPad			M4
iPad Pro 13-inch (M4) Cellular	1TB	700		iPad			M4
iPad Pro 13-inch (M4) Cellular	256GB	630		iPad			M4
iPad Pro 13-inch (M4) Cellular	2TB	730		iPad			M4
iPad Pro 13-inch (M4) Cellular	512GB	670		iPad			M4
iPad Pro (12,9 pulgadas) Wi-Fi	32GB	50		iPad			
iPad Pro (12,9 pulgadas) Wi-Fi	128GB	60		iPad			
iPad Pro (12,9 pulgadas) Wi-Fi	256GB	75		iPad			
iPad Pro (12,9 pulgadas) Cellular	128GB	65		iPad			
iPad Pro (12,9 pulgadas) Cellular	256GB	80		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi	128GB	440		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi	1TB	515		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi	256GB	455		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi	2TB	560		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Wi-Fi	512GB	475		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Cellular	128GB	445		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Cellular	1TB	545		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Cellular	256GB	465		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Cellular	2TB	580		iPad			
iPad Pro de 12,9 pulgadas (6.ª generación) Cellular	512GB	500		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi	128GB	370		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi	1TB	450		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi	256GB	400		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi	2TB	485		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Wi-Fi	512GB	420		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Cellular	128GB	390		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Cellular	1TB	470		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Cellular	256GB	410		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Cellular	2TB	500		iPad			
iPad Pro de 12,9 pulgadas (5.ª generación) Cellular	512GB	440		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi	128GB	280		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi	1TB	360		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi	256GB	315		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Wi-Fi	512GB	330		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Cellular	128GB	290		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Cellular	1TB	370		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Cellular	256GB	330		iPad			
iPad Pro de 12,9 pulgadas (4.ª generación) Cellular	512GB	330		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi	1TB	265		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi	256GB	230		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi	512GB	245		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Wi-Fi	64GB	210		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Cellular	1TB	270		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Cellular	256GB	240		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Cellular	512GB	255		iPad			
iPad Pro de 12,9 pulgadas (3.ª generación) Cellular	64GB	220		iPad			
iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi	256GB	125		iPad			
iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi	512GB	135		iPad			
iPad Pro de 12,9 pulgadas (2.ª generación) Wi-Fi	64GB	110		iPad			
iPad Pro de 12,9 pulgadas (2.ª generación) Cellular	256GB	130		iPad			
iPad Pro de 12,9 pulgadas (2.ª generación) Cellular	512GB	145		iPad			
iPad Pro de 12,9 pulgadas (2.ª generación) Cellular	64GB	115		iPad			
iPad Pro de 11 pulgadas Wi-Fi	1TB	200		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Wi-Fi	256GB	155		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Wi-Fi	512GB	165		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Wi-Fi	64GB	120		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Cellular	1TB	210		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Cellular	256GB	165		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Cellular	512GB	180		iPad	11 pulgadas		
iPad Pro de 11 pulgadas Cellular	64GB	130		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi	128GB	300		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi	1TB	365		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi	256GB	325		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi	2TB	400		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Wi-Fi	512GB	350		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Cellular	128GB	325		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Cellular	1TB	390		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Cellular	256GB	340		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Cellular	2TB	420		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (4.ª generación) Cellular	512GB	360		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi	128GB	270		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi	1TB	340		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi	256GB	290		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi	2TB	350		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Wi-Fi	512GB	320		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Cellular	128GB	280		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Cellular	1TB	345		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Cellular	256GB	300		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Cellular	2TB	370		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (3.ª generación) Cellular	512GB	330		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi	128GB	215		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi	1TB	280		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi	256GB	240		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Wi-Fi	512GB	260		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Cellular	128GB	230		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Cellular	1TB	295		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Cellular	256GB	245		iPad	11 pulgadas		
iPad Pro de 11 pulgadas (2.ª generación) Cellular	512GB	270		iPad	11 pulgadas		
iPad Pro 11-inch (M4)  Wi-Fi	1TB	460		iPad			M4
iPad Pro 11-inch (M4)  Wi-Fi	2TB	480		iPad			M4
iPad Pro 11-inch (M4)  Wi-Fi	256GB	395		iPad			M4
iPad Pro 11-inch (M4)  Wi-Fi	512GB	425		iPad			M4
iPad Pro 11-inch (M4) Cellular	1TB	480		iPad			M4
iPad Pro 11-inch (M4) Cellular	2TB	500		iPad			M4
iPad Pro 11-inch (M4) Cellular	256GB	410		iPad			M4
iPad Pro 11-inch (M4) Cellular	512GB	430		iPad			M4
iPad Pro (10,5 pulgadas) Wi-Fi	64GB	55		iPad			
iPad Pro (10,5 pulgadas) Wi-Fi	256GB	60		iPad			
iPad Pro (10,5 pulgadas) Wi-Fi	512GB	80		iPad			
iPad Pro (10,5 pulgadas) Cellular	64GB	60		iPad			
iPad Pro (10,5 pulgadas) Cellular	256GB	70		iPad			
iPad Pro (10,5 pulgadas) Cellular	512GB	90		iPad			
iPad mini (6.ª generación) Wi-Fi	256GB	185		iPad			
iPad mini (6.ª generación) Wi-Fi	64GB	160		iPad			
iPad mini (6.ª generación) Cellular	256GB	200		iPad			
iPad mini (6.ª generación) Cellular	64GB	175		iPad			
iPad mini (5.ª generación) Wi-Fi	256GB	100		iPad			
iPad mini (5.ª generación) Wi-Fi	64GB	85		iPad			
iPad mini (5.ª generación) Cellular	256GB	110		iPad			
iPad mini (5.ª generación) Cellular	64GB	95		iPad			
iPad Air (5.ª generación) Wi-Fi	256GB	270		iPad			
iPad Air (5.ª generación) Wi-Fi	64GB	235		iPad			
iPad Air (5.ª generación) Cellular	256GB	280		iPad			
iPad Air (5.ª generación) Cellular	64GB	255		iPad			
iPad Air (4.ª generación) Wi-Fi	256GB	170		iPad			
iPad Air (4.ª generación) Wi-Fi	64GB	140		iPad			
iPad Air (4.ª generación) Cellular	256GB	180		iPad			
iPad Air (4.ª generación) Cellular	64GB	160		iPad			
iPad Air (3.ª generación) Wi-Fi	256GB	100		iPad			
iPad Air (3.ª generación) Wi-Fi	64GB	65		iPad			
iPad Air (3.ª generación) Cellular	256GB	110		iPad			
iPad Air (3.ª generación) Cellular	64GB	80		iPad			
iPad Air 13 pulgadas (6.ª generación) Wi-Fi	1TB	475		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Wi-Fi	128GB	390		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Wi-Fi	256GB	425		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Wi-Fi	512GB	460		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Cellular	1TB	500		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Cellular	128GB	425		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Cellular	256GB	460		iPad	13 pulgadas		
iPad Air 13 pulgadas (6.ª generación) Cellular	512GB	470		iPad	13 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Wifi	1TB	360		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Wifi	128GB	280		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Wifi	256GB	320		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Wifi	512GB	350		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Cellular	1TB	385		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Cellular	128GB	320		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Cellular	256GB	350		iPad	11 pulgadas		
iPad Air 11 pulgadas (6.ª generación) Cellular	512GB	360		iPad	11 pulgadas		
iPad (9.ª generación) Wi-Fi	256GB	130		iPad			
iPad (9.ª generación) Wi-Fi	64GB	110		iPad			
iPad (9.ª generación) Cellular	256GB	145		iPad			
iPad (9.ª generación) Cellular	64GB	120		iPad			
iPad (8.ª generación) Wi-Fi	128GB	85		iPad			
iPad (8.ª generación) Wi-Fi	32GB	75		iPad			
iPad (8.ª generación) Cellular	128GB	105		iPad			
iPad (8.ª generación) Cellular	32GB	85		iPad			
iPad (7.ª generación) Wi-Fi	128GB	70		iPad			
iPad (7.ª generación) Wi-Fi	32GB	50		iPad			
iPad (7.ª generación) Cellular	128GB	80		iPad			
iPad (7.ª generación) Cellular	32GB	60		iPad			
iPad (6.ª generación) Wi-Fi	128GB	35		iPad			
iPad (6.ª generación) Wi-Fi	32GB	25		iPad			
iPad (6.ª generación) Cellular	128GB	40		iPad			
iPad (6.ª generación) Cellular	32GB	30		iPad			
iPad (10.ª generación) Wi-Fi	256GB	190		iPad			
iPad (10.ª generación) Wi-Fi	64GB	140		iPad			
iPad (10.ª generación) Cellular	256GB	200		iPad			
iPad (10.ª generación) Cellular	64GB	150		iPad			
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 16 Core Cpu 40 Core GPU	8TB	1520		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 16 Core Cpu 40 Core GPU	8TB	1500		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 16 Core Cpu 40 Core GPU	4TB	1425		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 14 Core Cpu 30 Core GPU	8TB	1390		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 14 Core Cpu 30 Core GPU	8TB	1390		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 16 Core Cpu 40 Core GPU	2TB	1365		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 16 Core Cpu 40 Core GPU	4TB	1320		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 16 Core Cpu 40 Core GPU	1TB	1310		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 14 Core Cpu 30 Core GPU	4TB	1300		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 14 Core Cpu 30 Core GPU	2TB	1250		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 14 Core Cpu 30 Core GPU	1TB	1175		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 14 Core Cpu 30 Core GPU	4TB	1145		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 16 Core Cpu 40 Core GPU	2TB	1125		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 16 Core Cpu 40 Core GPU	1TB	1060		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 14 Core Cpu 30 Core GPU	2TB	990		MacBook Pro	14 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 14 Core Cpu 30 Core GPU	512GB	920		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Pro 12 Core Cpu 18 Core GPU	4TB	920		MacBook Pro	16 pulgadas	2023	M3 Pro
MacBook Pro (16 pulgadas, 2023) A2991 M3 Max 16 Core Cpu 40 Core GPU	512GB	920		MacBook Pro	16 pulgadas	2023	M3 Max
MacBook Pro (16 pulgadas, 2023) A2991 M3 Pro 12 Core Cpu 18 Core GPU	2TB	850		MacBook Pro	16 pulgadas	2023	M3 Pro
MacBook Pro (14 pulgadas, 2023) A2992 M3 Max 16 Core Cpu 40 Core GPU	512GB	830		MacBook Pro	14 pulgadas	2023	M3 Max
